HGNC ID	Approved Symbol	Approved Name	Locus Type	Locus Group	Chromosome	Entrez Gene ID	RefSeq IDs	OMIM ID(supplied by OMIM)	RefSeq(supplied by NCBI)
35165	AARS	AARS	gene-with-protein-product	protein-coding-gene	chr5	AARS	XM_536788.4	AARS	XM_536788.4
26321	AARS2	AARS2	gene-with-protein-product	protein-coding-gene	chr12	AARS2	XM_532155.3	AARS2	XM_532155.3
36841	AARSD1	AARSD1	gene-with-protein-product	protein-coding-gene	chr9	AARSD1	XM_005624434.1	AARSD1	XM_005624434.1
39290	AASDH	AASDH	gene-with-protein-product	protein-coding-gene	chr13	AASDH	XM_005628222.1	AASDH	XM_005628222.1
1256	AASDHPPT	AASDHPPT	gene-with-protein-product	protein-coding-gene	chr5	AASDHPPT	XM_005619842.1	AASDHPPT	XM_005619842.1
39623	AASS	AASS	gene-with-protein-product	protein-coding-gene	chr14	AASS	XM_005628768.1	AASS	XM_005628768.1
17195	AATF	AATF	gene-with-protein-product	protein-coding-gene	chr9	AATF	XM_005624772.1	AATF	XM_005624772.1
40850	AATK	AATK	gene-with-protein-product	protein-coding-gene	chr9	AATK	XM_005624148.1	AATK	XM_005624148.1
35521	ABAT	ABAT	gene-with-protein-product	protein-coding-gene	chr6	ABAT	XM_846331.3	ABAT	XM_846331.3
38547	ABCA1	ABCA1	gene-with-protein-product	protein-coding-gene	chr11	ABCA1	XM_538773.5	ABCA1	XM_538773.5
19294	ABCA10	ABCA10	gene-with-protein-product	protein-coding-gene	chr9	ABCA10	XM_005642485.1	ABCA10	XM_005642485.1
33736	ABCA12	ABCA12	gene-with-protein-product	protein-coding-gene	chr37	ABCA12	XM_536058.3	ABCA12	XM_536058.3
5499	ABCA13	ABCA13	gene-with-protein-product	protein-coding-gene	chr18	ABCA13	XM_005631005.1	ABCA13	XM_005631005.1
37141	ABCA2	ABCA2	gene-with-protein-product	protein-coding-gene	chr9	ABCA2	XM_005625432.1	ABCA2	XM_005625432.1
35561	ABCA3	ABCA3	gene-with-protein-product	protein-coding-gene	chr6	ABCA3	XM_005621686.1	ABCA3	XM_005621686.1
25220	ABCA4	ABCA4	gene-with-protein-product	protein-coding-gene	chr6	ABCA4	NM_001003360.2	ABCA4	NM_001003360.2
36740	ABCA5	ABCA5	gene-with-protein-product	protein-coding-gene	chr9	ABCA5	XM_005624290.1	ABCA5	XM_005624290.1
36744	ABCA6	ABCA6	gene-with-protein-product	protein-coding-gene	chr9	ABCA6	XM_005624307.1	ABCA6	XM_005624307.1
43242	ABCA7	ABCA7	gene-with-protein-product	protein-coding-gene	chr20	ABCA7	XM_542208.4	ABCA7	XM_542208.4
3588	ABCA8	ABCA8	gene-with-protein-product	protein-coding-gene	chr9	ABCA8	XM_548020.4	ABCA8	XM_548020.4
9970	ABCA9	ABCA9	gene-with-protein-product	protein-coding-gene	chr9	ABCA9	XM_005624286.1	ABCA9	XM_005624286.1
24749	ABCB1	ABCB1	gene-with-protein-product	protein-coding-gene	chr14	ABCB1	NM_001003215.1	ABCB1	NM_001003215.1
12842	ABCB10	ABCB10	gene-with-protein-product	protein-coding-gene	chr4	ABCB10	XM_005618856.1	ABCB10	XM_005618856.1
47605	ABCB11	ABCB11	gene-with-protein-product	protein-coding-gene	chr36	ABCB11	XM_005640185.1	ABCB11	XM_005640185.1
39430	ABCB4	ABCB4	gene-with-protein-product	protein-coding-gene	chr14	ABCB4	XM_005628462.1	ABCB4	XM_005628462.1
39508	ABCB5	ABCB5	gene-with-protein-product	protein-coding-gene	chr14	ABCB5	XM_005628607.1	ABCB5	XM_005628607.1
33775	ABCB6	ABCB6	gene-with-protein-product	protein-coding-gene	chr37	ABCB6	XM_005640684.1	ABCB6	XM_005640684.1
4879	ABCB7	ABCB7	gene-with-protein-product	protein-coding-gene	chrX	ABCB7	XM_005641510.1	ABCB7	XM_005641510.1
40057	ABCB8	ABCB8	gene-with-protein-product	protein-coding-gene	chr16	ABCB8	XM_005629678.1	ABCB8	XM_005629678.1
30939	ABCB9	ABCB9	gene-with-protein-product	protein-coding-gene	chr26	ABCB9	XM_853575.3	ABCB9	XM_853575.3
23897	ABCC1	ABCC1	gene-with-protein-product	protein-coding-gene	chr6	ABCC1	NM_001002971.1	ABCC1	NM_001002971.1
38819	ABCC10	ABCC10	gene-with-protein-product	protein-coding-gene	chr12	ABCC10	XM_538934.4	ABCC10	XM_538934.4
17060	ABCC11	ABCC11	gene-with-protein-product	protein-coding-gene	chr2	ABCC11	XM_003638934.2	ABCC11	XM_003638934.2
46270	ABCC12	ABCC12	gene-with-protein-product	protein-coding-gene	chr2	ABCC12	XM_544420.4	ABCC12	XM_544420.4
24271	ABCC2	ABCC2	gene-with-protein-product	protein-coding-gene	chr28	ABCC2	NM_001003081.1	ABCC2	NM_001003081.1
3942	ABCC3	ABCC3	gene-with-protein-product	protein-coding-gene	chr9	ABCC3	XM_005624674.1	ABCC3	XM_005624674.1
43685	ABCC4	ABCC4	gene-with-protein-product	protein-coding-gene	chr22	ABCC4	NM_001197174.1	ABCC4	NM_001197174.1
33232	ABCC5	ABCC5	gene-with-protein-product	protein-coding-gene	chr34	ABCC5	XM_005639715.1	ABCC5	XM_005639715.1
2248	ABCC6	ABCC6	gene-with-protein-product	protein-coding-gene	chr6	ABCC6	XM_547113.5	ABCC6	XM_547113.5
43559	ABCC8	ABCC8	gene-with-protein-product	protein-coding-gene	chr21	ABCC8	XM_005633726.1	ABCC8	XM_005633726.1
45352	ABCC9	ABCC9	gene-with-protein-product	protein-coding-gene	chr27	ABCC9	XM_005637058.1	ABCC9	XM_005637058.1
11651	ABCD1	ABCD1	gene-with-protein-product	protein-coding-gene	chrX	ABCD1	XM_005641997.1	ABCD1	XM_005641997.1
31328	ABCD2	ABCD2	gene-with-protein-product	protein-coding-gene	chr27	ABCD2	XM_005636977.1	ABCD2	XM_005636977.1
35674	ABCD3	ABCD3	gene-with-protein-product	protein-coding-gene	chr6	ABCD3	XM_537064.4	ABCD3	XM_537064.4
3438	ABCD4	ABCD4	gene-with-protein-product	protein-coding-gene	chr8	ABCD4	XM_005623658.1	ABCD4	XM_005623658.1
27341	ABCE1	ABCE1	gene-with-protein-product	protein-coding-gene	chr15	ABCE1	XM_862119.3	ABCE1	XM_862119.3
26080	ABCF1	ABCF1	gene-with-protein-product	protein-coding-gene	chr12	ABCF1	XM_532056.5	ABCF1	XM_532056.5
40069	ABCF2	ABCF2	gene-with-protein-product	protein-coding-gene	chr16	ABCF2	XM_005629686.1	ABCF2	XM_005629686.1
33242	ABCF3	ABCF3	gene-with-protein-product	protein-coding-gene	chr34	ABCF3	XM_844392.3	ABCF3	XM_844392.3
46929	ABCG1	ABCG1	gene-with-protein-product	protein-coding-gene	chr31	ABCG1	XM_005638927.1	ABCG1	XM_005638927.1
32909	ABCG2	ABCG2	gene-with-protein-product	protein-coding-gene	chr32	ABCG2	NM_001048021.1	ABCG2	NM_001048021.1
9503	ABCG4	ABCG4	gene-with-protein-product	protein-coding-gene	chr5	ABCG4	XM_005619679.1	ABCG4	XM_005619679.1
38177	ABCG5	ABCG5	gene-with-protein-product	protein-coding-gene	chr10	ABCG5	XM_538475.3	ABCG5	XM_538475.3
25640	ABCG8	ABCG8	gene-with-protein-product	protein-coding-gene	chr10	ABCG8	XM_531799.4	ABCG8	XM_531799.4
13991	ABHD1	ABHD1	gene-with-protein-product	protein-coding-gene	chr17	ABHD1	XM_003432174.2	ABHD1	XM_003432174.2
33098	ABHD10	ABHD10	gene-with-protein-product	protein-coding-gene	chr33	ABHD10	XM_535737.4	ABHD10	XM_535737.4
1932	ABHD11	ABHD11	gene-with-protein-product	protein-coding-gene	chr6	ABHD11	XM_005620963.1	ABHD11	XM_005620963.1
30009	ABHD12	ABHD12	gene-with-protein-product	protein-coding-gene	chr23	ABHD12	XM_005634167.1	ABHD12	XM_005634167.1
16483	ABHD12B	ABHD12B	gene-with-protein-product	protein-coding-gene	chr8	ABHD12B	XM_005623392.1	ABHD12B	XM_005623392.1
14602	ABHD13	ABHD13	gene-with-protein-product	protein-coding-gene	chr22	ABHD13	XM_003433085.2	ABHD13	XM_003433085.2
42733	ABHD14A	ABHD14A	gene-with-protein-product	protein-coding-gene	chr20	ABHD14A	XM_005632470.1	ABHD14A	XM_005632470.1
42739	ABHD14B	ABHD14B	gene-with-protein-product	protein-coding-gene	chr20	ABHD14B	XM_541860.4	ABHD14B	XM_541860.4
4051	ABHD15	ABHD15	gene-with-protein-product	protein-coding-gene	chr9	ABHD15	XM_548299.4	ABHD15	XM_548299.4
26165	ABHD16A	ABHD16A	gene-with-protein-product	protein-coding-gene	chr12	ABHD16A	XM_005627152.1	ABHD16A	XM_005627152.1
17303	ABHD16B	ABHD16B	gene-with-protein-product	protein-coding-gene	chr24	ABHD16B	XM_003639852.2	ABHD16B	XM_003639852.2
43221	ABHD17A	ABHD17A	gene-with-protein-product	protein-coding-gene	chr20	ABHD17A	XM_542194.4	ABHD17A	XM_542194.4
33973	ABHD2	ABHD2	gene-with-protein-product	protein-coding-gene	chr3	ABHD2	XM_844639.3	ABHD2	XM_844639.3
36226	ABHD3	ABHD3	gene-with-protein-product	protein-coding-gene	chr7	ABHD3	XM_537301.3	ABHD3	XM_537301.3
5952	ABHD4	ABHD4	gene-with-protein-product	protein-coding-gene	chr8	ABHD4	XM_005623207.1	ABHD4	XM_005623207.1
42679	ABHD6	ABHD6	gene-with-protein-product	protein-coding-gene	chr20	ABHD6	XM_541828.4	ABHD6	XM_541828.4
42879	ABHD8	ABHD8	gene-with-protein-product	protein-coding-gene	chr20	ABHD8	XM_541956.4	ABHD8	XM_541956.4
5767	ABI1	ABI1	gene-with-protein-product	protein-coding-gene	chr2	ABI1	XM_005616981.1	ABI1	XM_005616981.1
47745	ABI2	ABI2	gene-with-protein-product	protein-coding-gene	chr37	ABI2	XM_003434263.2	ABI2	XM_003434263.2
3855	ABI3	ABI3	gene-with-protein-product	protein-coding-gene	chr9	ABI3	XM_003639285.2	ABI3	XM_003639285.2
33042	ABI3BP	ABI3BP	gene-with-protein-product	protein-coding-gene	chr33	ABI3BP	XM_005639415.1	ABI3BP	XM_005639415.1
4222	ABL1	ABL1	gene-with-protein-product	protein-coding-gene	chr9	ABL1	XM_005625232.1	ABL1	XM_005625232.1
35950	ABL2	ABL2	gene-with-protein-product	protein-coding-gene	chr7	ABL2	XM_537174.4	ABL2	XM_537174.4
31661	ABLIM1	ABLIM1	gene-with-protein-product	protein-coding-gene	chr28	ABLIM1	XM_005637751.1	ABLIM1	XM_005637751.1
9249	ABLIM2	ABLIM2	gene-with-protein-product	protein-coding-gene	chr3	ABLIM2	XM_005618467.1	ABLIM2	XM_005618467.1
11436	ABLIM3	ABLIM3	gene-with-protein-product	protein-coding-gene	chr4	ABLIM3	XM_005619315.1	ABLIM3	XM_005619315.1
4177	ABO	ABO	gene-with-protein-product	protein-coding-gene	chr9	ABO	XM_548386.4	ABO	XM_548386.4
37095	ABR	ABR	gene-with-protein-product	protein-coding-gene	chr9	ABR	XM_537757.4	ABR	XM_537757.4
16496	ABRA	ABRA	gene-with-protein-product	protein-coding-gene	chr13	ABRA	XM_003639444.2	ABRA	XM_003639444.2
28661	ABRACL	ABRACL	gene-with-protein-product	protein-coding-gene	chr1	ABRACL	XM_533427.4	ABRACL	XM_533427.4
16783	ABT1	ABT1	gene-with-protein-product	protein-coding-gene	chr35	ABT1	XM_003640168.2	ABT1	XM_003640168.2
8011	ABTB1	ABTB1	gene-with-protein-product	protein-coding-gene	chr20	ABTB1	XM_846538.3	ABTB1	XM_846538.3
40939	ABTB2	ABTB2	gene-with-protein-product	protein-coding-gene	chr18	ABTB2	XM_843872.3	ABTB2	XM_843872.3
30082	ACAA1	ACAA1	gene-with-protein-product	protein-coding-gene	chr23	ACAA1	XM_005634249.1	ACAA1	XM_005634249.1
3129	ACAA2	ACAA2	gene-with-protein-product	protein-coding-gene	chr7	ACAA2	XM_005623144.1	ACAA2	XM_005623144.1
3970	ACACA	ACACA	gene-with-protein-product	protein-coding-gene	chr9	ACACA	XM_005624777.1	ACACA	XM_005624777.1
14029	ACACB	ACACB	gene-with-protein-product	protein-coding-gene	chr26	ACACB	XM_005636328.1	ACACB	XM_005636328.1
44719	ACAD10	ACAD10	gene-with-protein-product	protein-coding-gene	chr26	ACAD10	XM_005636243.1	ACAD10	XM_005636243.1
16913	ACAD11	ACAD11	gene-with-protein-product	protein-coding-gene	chr23	ACAD11	XM_003639824.2	ACAD11	XM_003639824.2
34665	ACAD8	ACAD8	gene-with-protein-product	protein-coding-gene	chr5	ACAD8	XM_005620292.1	ACAD8	XM_005620292.1
29106	ACAD9	ACAD9	gene-with-protein-product	protein-coding-gene	chr20	ACAD9	XM_533725.4	ACAD9	XM_533725.4
33724	ACADL	ACADL	gene-with-protein-product	protein-coding-gene	chr37	ACADL	XM_536053.4	ACADL	XM_536053.4
2566	ACADM	ACADM	gene-with-protein-product	protein-coding-gene	chr6	ACADM	XM_005622131.1	ACADM	XM_005622131.1
31038	ACADS	ACADS	gene-with-protein-product	protein-coding-gene	chr26	ACADS	XM_005636308.1	ACADS	XM_005636308.1
31725	ACADSB	ACADSB	gene-with-protein-product	protein-coding-gene	chr28	ACADSB	XM_535048.5	ACADSB	XM_535048.5
1335	ACADVL	ACADVL	gene-with-protein-product	protein-coding-gene	chr5	ACADVL	XM_546581.4	ACADVL	XM_546581.4
24633	ACAN	ACAN	gene-with-protein-product	protein-coding-gene	chr3	ACAN	XM_005618252.1	ACAN	XM_005618252.1
34848	ACAP1	ACAP1	gene-with-protein-product	protein-coding-gene	chr5	ACAP1	XM_005620317.1	ACAP1	XM_005620317.1
47274	ACAP2	ACAP2	gene-with-protein-product	protein-coding-gene	chr33	ACAP2	XM_005639656.1	ACAP2	XM_005639656.1
1573	ACAP3	ACAP3	gene-with-protein-product	protein-coding-gene	chr5	ACAP3	XM_546717.4	ACAP3	XM_546717.4
1247	ACAT1	ACAT1	gene-with-protein-product	protein-coding-gene	chr5	ACAT1	XM_546539.4	ACAT1	XM_546539.4
41804	ACAT2	ACAT2	gene-with-protein-product	protein-coding-gene	chr1	ACAT2	XM_541180.4	ACAT2	XM_541180.4
10945	ACBD3	ACBD3	gene-with-protein-product	protein-coding-gene	chr7	ACBD3	XM_005622630.1	ACBD3	XM_005622630.1
3648	ACBD4	ACBD4	gene-with-protein-product	protein-coding-gene	chr9	ACBD4	XM_548051.4	ACBD4	XM_548051.4
31857	ACBD5	ACBD5	gene-with-protein-product	protein-coding-gene	chr2	ACBD5	XM_005616979.1	ACBD5	XM_005616979.1
35887	ACBD6	ACBD6	gene-with-protein-product	protein-coding-gene	chr7	ACBD6	XM_005622382.1	ACBD6	XM_005622382.1
5706	ACBD7	ACBD7	gene-with-protein-product	protein-coding-gene	chr2	ACBD7	XM_843806.3	ACBD7	XM_843806.3
10353	ACCS	ACCS	gene-with-protein-product	protein-coding-gene	chr18	ACCS	XM_005631314.1	ACCS	XM_005631314.1
22919	ACCSL	ACCSL	gene-with-protein-product	protein-coding-gene	chr18	ACCSL	XM_005631093.1	ACCSL	XM_005631093.1
47104	ACD	ACD	gene-with-protein-product	protein-coding-gene	chr5	ACD	XM_848813.3	ACD	XM_848813.3
37337	ACE2	ACE2	gene-with-protein-product	protein-coding-gene	chrX	ACE2	NM_001165260.1	ACE2	NM_001165260.1
10745	ACER1	ACER1	gene-with-protein-product	protein-coding-gene	chr20	ACER1	XM_005632992.1	ACER1	XM_005632992.1
16778	ACER2	ACER2	gene-with-protein-product	protein-coding-gene	chr11	ACER2	XM_003639383.2	ACER2	XM_003639383.2
6521	ACER3	ACER3	gene-with-protein-product	protein-coding-gene	chr21	ACER3	XM_844667.3	ACER3	XM_844667.3
1979	ACHE	ACHE	gene-with-protein-product	protein-coding-gene	chr6	ACHE	XM_005621023.1	ACHE	XM_005621023.1
36347	ACIN1	ACIN1	gene-with-protein-product	protein-coding-gene	chr8	ACIN1	XM_003435091.2	ACIN1	XM_003435091.2
43826	ACKR2	ACKR2	gene-with-protein-product	protein-coding-gene	chr23	ACKR2	XM_005634315.1	ACKR2	XM_005634315.1
24906	ACKR3	ACKR3	gene-with-protein-product	protein-coding-gene	chr25	ACKR3	XM_005635905.1	ACKR3	XM_005635905.1
16957	ACKR4	ACKR4	gene-with-protein-product	protein-coding-gene	chr23	ACKR4	XM_005634425.1	ACKR4	XM_005634425.1
6426	ACLY	ACLY	gene-with-protein-product	protein-coding-gene	chr9	ACLY	XM_005624480.1	ACLY	XM_005624480.1
28467	ACMSD	ACMSD	gene-with-protein-product	protein-coding-gene	chr19	ACMSD	XM_533332.4	ACMSD	XM_533332.4
9091	ACN9	ACN9	gene-with-protein-product	protein-coding-gene	chr14	ACN9	XM_847693.3	ACN9	XM_847693.3
38398	ACO1	ACO1	gene-with-protein-product	protein-coding-gene	chr11	ACO1	XM_538698.4	ACO1	XM_538698.4
25496	ACO2	ACO2	gene-with-protein-product	protein-coding-gene	chr10	ACO2	XM_844073.3	ACO2	XM_844073.3
1543	ACOT11	ACOT11	gene-with-protein-product	protein-coding-gene	chr5	ACOT11	XM_005620258.1	ACOT11	XM_005620258.1
606	ACOT12	ACOT12	gene-with-protein-product	protein-coding-gene	chr3	ACOT12	XM_546042.3	ACOT12	XM_546042.3
9838	ACOT13	ACOT13	gene-with-protein-product	protein-coding-gene	chr35	ACOT13	XM_003434192.2	ACOT13	XM_003434192.2
2913	ACOT2	ACOT2	gene-with-protein-product	protein-coding-gene	chr8	ACOT2	XM_005623631.1	ACOT2	XM_005623631.1
38122	ACOT4	ACOT4	gene-with-protein-product	protein-coding-gene	chr8	ACOT4	XM_547893.3	ACOT4	XM_547893.3
38149	ACOT6	ACOT6	gene-with-protein-product	protein-coding-gene	chr8	ACOT6	XM_547894.4	ACOT6	XM_547894.4
35081	ACOT7	ACOT7	gene-with-protein-product	protein-coding-gene	chr5	ACOT7	XM_005620453.1	ACOT7	XM_005620453.1
30536	ACOT8	ACOT8	gene-with-protein-product	protein-coding-gene	chr24	ACOT8	XM_534440.4	ACOT8	XM_534440.4
17144	ACOT9	ACOT9	gene-with-protein-product	protein-coding-gene	chrX	ACOT9	XM_003640246.2	ACOT9	XM_003640246.2
40782	ACOX1	ACOX1	gene-with-protein-product	protein-coding-gene	chr9	ACOX1	XM_540441.4	ACOX1	XM_540441.4
15592	ACOX2	ACOX2	gene-with-protein-product	protein-coding-gene	chr20	ACOX2	XM_005632386.1	ACOX2	XM_005632386.1
390	ACOX3	ACOX3	gene-with-protein-product	protein-coding-gene	chr3	ACOX3	XM_005618490.1	ACOX3	XM_005618490.1
10734	ACOXL	ACOXL	gene-with-protein-product	protein-coding-gene	chr17	ACOXL	XM_005630420.1	ACOXL	XM_005630420.1
1034	ACP1	ACP1	gene-with-protein-product	protein-coding-gene	chr17	ACP1	XM_005630586.1	ACP1	XM_005630586.1
28230	ACP2	ACP2	gene-with-protein-product	protein-coding-gene	chr18	ACP2	XM_845140.3	ACP2	XM_845140.3
29374	ACP5	ACP5	gene-with-protein-product	protein-coding-gene	chr20	ACP5	XM_005632845.1	ACP5	XM_005632845.1
27985	ACP6	ACP6	gene-with-protein-product	protein-coding-gene	chr17	ACP6	XM_533030.3	ACP6	XM_533030.3
10245	ACPL2	ACPL2	gene-with-protein-product	protein-coding-gene	chr23	ACPL2	XM_005634520.1	ACPL2	XM_005634520.1
43924	ACPP	ACPP	gene-with-protein-product	protein-coding-gene	chr23	ACPP	XM_005634423.1	ACPP	XM_005634423.1
42117	ACPT	ACPT	gene-with-protein-product	protein-coding-gene	chr1	ACPT	XM_541473.2	ACPT	XM_541473.2
5303	ACR	ACR	gene-with-protein-product	protein-coding-gene	chr10	ACR	XM_843155.3	ACR	XM_843155.3
31436	ACRBP	ACRBP	gene-with-protein-product	protein-coding-gene	chr27	ACRBP	XM_534908.4	ACRBP	XM_534908.4
20819	ACRC	ACRC	gene-with-protein-product	protein-coding-gene	chrX	ACRC	XM_005641479.1	ACRC	XM_005641479.1
5780	ACRV1	ACRV1	gene-with-protein-product	protein-coding-gene	chr5	ACRV1	XM_005619592.1	ACRV1	XM_005619592.1
34021	ACSBG1	ACSBG1	gene-with-protein-product	protein-coding-gene	chr3	ACSBG1	XM_005618437.1	ACSBG1	XM_005618437.1
29524	ACSBG2	ACSBG2	gene-with-protein-product	protein-coding-gene	chr20	ACSBG2	XR_295037.1	ACSBG2	XR_295037.1
36910	ACSF2	ACSF2	gene-with-protein-product	protein-coding-gene	chr9	ACSF2	XM_005624984.1	ACSF2	XM_005624984.1
13233	ACSF3	ACSF3	gene-with-protein-product	protein-coding-gene	chr5	ACSF3	XM_005620561.1	ACSF3	XM_005620561.1
27633	ACSL1	ACSL1	gene-with-protein-product	protein-coding-gene	chr16	ACSL1	XM_005629989.1	ACSL1	XM_005629989.1
33794	ACSL3	ACSL3	gene-with-protein-product	protein-coding-gene	chr37	ACSL3	XM_846524.3	ACSL3	XM_846524.3
37599	ACSL4	ACSL4	gene-with-protein-product	protein-coding-gene	chrX	ACSL4	XM_005641664.1	ACSL4	XM_005641664.1
31642	ACSL5	ACSL5	gene-with-protein-product	protein-coding-gene	chr28	ACSL5	XM_005637729.1	ACSL5	XM_005637729.1
25834	ACSL6	ACSL6	gene-with-protein-product	protein-coding-gene	chr11	ACSL6	XM_855246.4	ACSL6	XM_855246.4
35416	ACSM2A	ACSM2A	gene-with-protein-product	protein-coding-gene	chr6	ACSM2A	XM_005621478.1	ACSM2A	XM_005621478.1
7530	ACSM3	ACSM3	gene-with-protein-product	protein-coding-gene	chr6	ACSM3	XM_005621465.1	ACSM3	XM_005621465.1
35460	ACSM4	ACSM4	gene-with-protein-product	protein-coding-gene	chr6	ACSM4	XM_005622071.1	ACSM4	XM_005622071.1
7671	ACSM5	ACSM5	gene-with-protein-product	protein-coding-gene	chr6	ACSM5	XM_846187.3	ACSM5	XM_846187.3
30004	ACSS1	ACSS1	gene-with-protein-product	protein-coding-gene	chr23	ACSS1	XM_534200.4	ACSS1	XM_534200.4
30441	ACSS2	ACSS2	gene-with-protein-product	protein-coding-gene	chr24	ACSS2	XM_003639858.2	ACSS2	XM_003639858.2
27260	ACSS3	ACSS3	gene-with-protein-product	protein-coding-gene	chr15	ACSS3	XM_005629427.1	ACSS3	XM_005629427.1
670	ACTA1	ACTA1	gene-with-protein-product	protein-coding-gene	chr4	ACTA1	XM_005618839.1	ACTA1	XM_005618839.1
31180	ACTA2	ACTA2	gene-with-protein-product	protein-coding-gene	chr26	ACTA2	XM_534781.5	ACTA2	XM_534781.5
24156	ACTB	ACTB	gene-with-protein-product	protein-coding-gene	chr6	ACTB	XM_005621019.1	ACTB	XM_005621019.1
46140	ACTBL2	ACTBL2	gene-with-protein-product	protein-coding-gene	chr2	ACTBL2	XM_544346.2	ACTBL2	XM_544346.2
32439	ACTC1	ACTC1	gene-with-protein-product	protein-coding-gene	chr30	ACTC1	XM_535424.4	ACTC1	XM_535424.4
28119	ACTG1	ACTG1	gene-with-protein-product	protein-coding-gene	chr9	ACTG1	XM_005624007.1	ACTG1	XM_005624007.1
27801	ACTG2	ACTG2	gene-with-protein-product	protein-coding-gene	chr17	ACTG2	XM_533002.4	ACTG2	XM_533002.4
18515	ACTL10	ACTL10	gene-with-protein-product	protein-coding-gene	chr24	ACTL10	XM_005634943.1	ACTL10	XM_005634943.1
33206	ACTL6A	ACTL6A	gene-with-protein-product	protein-coding-gene	chr34	ACTL6A	XM_005639734.1	ACTL6A	XM_005639734.1
7032	ACTL6B	ACTL6B	gene-with-protein-product	protein-coding-gene	chr6	ACTL6B	XM_845440.4	ACTL6B	XM_845440.4
26074	ACTL7A	ACTL7A	gene-with-protein-product	protein-coding-gene	chr11	ACTL7A	XM_005626901.1	ACTL7A	XM_005626901.1
38557	ACTL7B	ACTL7B	gene-with-protein-product	protein-coding-gene	chr11	ACTL7B	XM_538780.3	ACTL7B	XM_538780.3
46458	ACTL8	ACTL8	gene-with-protein-product	protein-coding-gene	chr2	ACTL8	XM_005617938.1	ACTL8	XM_005617938.1
53	ACTL9	ACTL9	gene-with-protein-product	protein-coding-gene	chr20	ACTL9	XM_542131.4	ACTL9	XM_542131.4
36572	ACTN1	ACTN1	gene-with-protein-product	protein-coding-gene	chr8	ACTN1	XM_848010.3	ACTN1	XM_848010.3
34252	ACTN2	ACTN2	gene-with-protein-product	protein-coding-gene	chr4	ACTN2	XM_005618781.1	ACTN2	XM_005618781.1
41264	ACTN3	ACTN3	gene-with-protein-product	protein-coding-gene	chr18	ACTN3	XM_005631429.1	ACTN3	XM_005631429.1
42382	ACTN4	ACTN4	gene-with-protein-product	protein-coding-gene	chr1	ACTN4	XM_862326.3	ACTN4	XM_862326.3
36524	ACTR10	ACTR10	gene-with-protein-product	protein-coding-gene	chr8	ACTR10	XM_846850.3	ACTR10	XM_846850.3
